age;traveltime;failures;goout;G3;sex_F;address_U;paid_yes;romantic_yes;Parents_edu
18;2;0;4;6;True;True;False;False;4
17;1;0;3;6;True;True;False;False;1
15;1;3;2;10;True;True;True;False;1
15;1;0;2;15;True;True;True;True;4
16;1;0;2;10;True;True;True;False;3
16;1;0;2;15;False;True;True;False;4
16;1;0;4;11;False;True;False;False;2
17;2;0;4;6;True;True;False;False;4
15;1;0;2;19;False;True;True;False;3
15;1;0;1;15;False;True;True;False;4
15;1;0;3;9;True;True;True;False;4
15;3;0;2;12;True;True;False;False;2
15;1;0;3;14;False;True;True;False;4
15;2;0;3;11;False;True;True;False;4
15;1;0;2;16;False;True;False;True;2
16;1;0;4;14;True;True;False;False;4
16;1;0;3;14;True;True;True;False;4
16;3;0;2;10;True;True;False;False;3
17;1;3;5;5;False;True;False;False;3
16;1;0;3;10;False;True;True;False;4
15;1;0;1;15;False;True;False;False;4
15;1;0;2;15;False;True;True;False;4
16;1;0;1;16;False;True;False;False;4
16;2;0;4;12;False;True;False;False;2
15;1;0;2;8;True;False;True;False;4
16;1;2;2;8;True;True;True;False;2
15;1;0;2;11;False;True;True;False;2
15;1;0;4;15;False;True;True;False;4
16;1;0;3;11;False;True;False;False;4
16;1;0;5;11;False;True;True;True;4
15;1;0;2;12;False;True;True;False;4
15;2;0;1;17;False;True;False;False;4
15;1;0;2;16;False;False;False;True;4
15;1;0;2;12;False;True;False;False;3
16;1;0;3;15;False;True;True;False;3
15;2;0;1;6;True;True;False;False;3
15;1;0;3;18;False;True;False;False;4
16;2;0;3;15;False;False;False;True;4
15;1;0;2;11;True;False;True;False;4
15;1;0;1;13;True;False;True;False;2
16;2;1;3;11;True;True;False;True;2
15;1;0;3;12;False;True;False;True;4
15;1;0;3;18;False;True;False;False;4
15;1;0;1;11;False;True;False;False;2
16;2;1;3;9;True;True;False;False;2
15;1;0;2;6;True;True;True;True;4
16;1;0;5;11;True;True;False;False;3
16;1;0;2;20;False;True;False;False;4
15;1;0;3;14;False;True;True;False;4
15;1;1;4;7;True;True;False;False;4
16;3;0;3;13;True;True;True;False;2
15;1;0;3;13;True;True;True;False;4
15;2;1;5;10;False;True;False;False;4
15;1;0;4;11;True;True;True;False;4
15;1;0;4;13;True;True;True;False;3
16;1;0;4;10;True;True;True;True;2
15;1;0;2;15;True;True;True;False;4
15;1;0;2;15;False;True;False;False;4
15;1;0;2;9;False;True;False;False;2
16;1;0;3;16;True;True;False;False;4
