age;Medu;Fedu;traveltime;studytime;failures;famrel;freetime;goout;Dalc;Walc;health;absences;G3;school_GP;sex_F;address_U;famsize_LE3;Pstatus_T;Mjob_at_home;Mjob_health;Mjob_other;Mjob_services;Mjob_teacher;Fjob_at_home;Fjob_health;Fjob_other;Fjob_services;Fjob_teacher;reason_course;reason_home;reason_other;reason_reputation;guardian_father;guardian_mother;guardian_other;schoolsup_yes;famsup_yes;paid_yes;activities_yes;nursery_yes;higher_yes;internet_yes;romantic_yes
18;4;4;2;2;0;4;3;4;1;1;3;6;6;True;True;True;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False
17;1;1;1;2;0;5;3;3;1;1;3;4;6;True;True;True;False;True;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;True;False
15;1;1;1;2;3;4;3;2;2;3;3;10;10;True;True;True;True;True;True;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;True;False;True;False;True;True;True;False
15;4;2;1;3;0;3;2;2;1;1;5;2;15;True;True;True;False;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;True;True;True;True;True;True;True
16;3;3;1;2;0;4;3;2;1;2;5;4;10;True;True;True;False;True;False;False;True;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;True;True;False;True;True;False;False
16;4;3;1;2;0;5;4;2;1;2;5;10;15;True;False;True;True;True;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;True;False
16;2;2;1;2;0;4;4;4;1;1;3;0;11;True;False;True;True;True;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;True;True;True;False
17;4;4;2;2;0;4;1;4;1;1;1;6;6;True;True;True;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;True;False;True;True;False;False;True;True;False;False
15;3;2;1;2;0;4;2;2;1;1;1;0;19;True;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;True;False;True;True;True;False
15;3;4;1;2;0;5;5;1;1;1;5;0;15;True;False;True;False;True;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;True;True;True;True;True;False
15;4;4;1;2;0;3;3;3;1;2;2;0;9;True;True;True;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;True;False;True;True;True;False
15;2;1;3;3;0;5;2;2;1;1;4;4;12;True;True;True;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;True;True;True;True;False
15;4;4;1;1;0;4;3;3;1;3;5;2;14;True;False;True;True;True;False;True;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;True;True;True;True;False
15;4;3;2;2;0;5;4;3;1;2;3;2;11;True;False;True;False;True;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;False;True;True;False;True;True;True;False
15;2;2;1;3;0;4;5;2;1;1;3;0;16;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;True;True;True;True
16;4;4;1;1;0;4;4;4;1;2;2;4;14;True;True;True;False;True;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;True;True;True;False
16;4;4;1;3;0;3;2;3;1;2;2;6;14;True;True;True;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;True;False;True;False;False;True;True;True;True;True;True;False
16;3;3;3;2;0;5;3;2;1;1;4;4;10;True;True;True;False;True;False;False;True;False;False;False;False;True;False;False;False;False;False;True;False;True;False;True;True;False;True;True;True;False;False
17;3;2;1;1;3;5;5;5;2;4;5;16;5;True;False;True;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;False;True;True;True;True;False
16;4;3;1;1;0;3;1;3;1;3;5;4;10;True;False;True;True;True;False;True;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;True;True;True;True;True;False
15;4;3;1;2;0;4;4;1;1;1;1;0;15;True;False;True;False;True;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;True;True;True;False
15;4;4;1;1;0;5;4;2;1;1;5;0;15;True;False;True;False;True;False;True;False;False;False;False;True;False;False;False;False;False;True;False;True;False;False;False;True;True;False;True;True;True;False
16;4;2;1;2;0;4;5;1;1;3;5;2;16;True;False;True;True;True;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;False;False;False;True;True;True;True;False
