age;traveltime;studytime;failures;freetime;G3;school_GP;sex_F;address_U;Mjob_at_home;Mjob_health;Mjob_teacher;Fjob_teacher;reason_course;reason_home;reason_other;reason_reputation;higher_yes;internet_yes;Alc;Parents_edu
18;2;2;0;3;11;True;True;True;True;False;False;True;True;False;False;False;True;False;1;4
17;1;2;0;3;11;True;True;True;True;False;False;False;True;False;False;False;True;True;1;1
15;1;2;0;3;12;True;True;True;True;False;False;False;False;False;True;False;True;True;3;1
15;1;3;0;2;14;True;True;True;False;True;False;False;False;True;False;False;True;True;1;4
16;1;2;0;3;13;True;True;True;False;False;False;False;False;True;False;False;True;False;2;3
16;1;2;0;4;13;True;False;True;False;False;False;False;False;False;False;True;True;True;2;4
16;1;2;0;4;13;True;False;True;False;False;False;False;False;True;False;False;True;True;1;2
17;2;2;0;1;13;True;True;True;False;False;False;True;False;True;False;False;True;False;1;4
15;1;2;0;2;17;True;False;True;False;False;False;False;False;True;False;False;True;True;1;3
15;1;2;0;5;13;True;False;True;False;False;False;False;False;True;False;False;True;True;1;4
15;1;2;0;3;14;True;True;True;False;False;True;False;False;False;False;True;True;True;2;4
15;2;3;0;2;13;True;True;True;False;False;False;False;False;False;False;True;True;True;1;2
15;1;1;0;3;12;True;False;True;False;True;False;False;True;False;False;False;True;True;3;4
15;2;2;0;4;13;True;False;True;False;False;True;False;True;False;False;False;True;True;2;4
15;1;3;0;5;15;True;False;True;False;False;False;False;False;True;False;False;True;True;1;2
16;1;1;0;4;17;True;True;True;False;True;False;False;False;True;False;False;True;True;2;4
16;1;3;0;2;14;True;True;True;False;False;False;False;False;False;False;True;True;True;2;4
16;2;2;0;3;14;True;True;True;False;False;False;False;False;False;False;True;True;False;1;3
17;1;1;1;5;7;True;False;True;False;False;False;False;True;False;False;False;True;True;4;3
16;1;1;0;1;12;True;False;True;False;True;False;False;False;True;False;False;True;True;3;4
15;1;2;0;4;14;True;False;True;False;False;True;False;False;False;False;True;True;True;1;4
15;1;1;0;4;12;True;False;True;False;True;False;False;False;False;True;False;True;True;1;4
16;1;2;0;5;14;True;False;True;False;False;True;False;True;False;False;False;True;True;3;4
16;2;2;0;4;10;True;False;True;False;False;False;False;False;False;False;True;True;True;4;2
15;1;3;0;3;10;True;True;False;False;False;False;False;True;False;False;False;True;True;1;4
16;1;1;0;2;12;True;True;True;False;False;False;False;False;True;False;False;True;True;3;2
15;1;1;0;2;12;True;False;True;False;False;False;False;False;True;False;False;True;True;2;2
15;1;1;0;2;11;True;False;True;False;True;False;False;False;False;True;False;True;True;4;4
16;1;2;0;3;13;True;False;True;False;False;False;False;False;True;False;False;True;True;1;4
16;1;2;0;4;12;True;False;True;False;False;True;True;False;True;False;False;True;True;5;4
15;1;2;0;4;11;True;False;True;False;True;False;False;False;True;False;False;True;True;4;4
15;2;2;0;3;15;True;False;True;False;False;False;False;False;False;False;True;True;True;1;4
15;1;2;0;5;15;True;False;False;False;False;True;False;True;False;False;False;True;True;1;4
15;1;2;0;3;12;True;False;True;False;False;False;False;True;False;False;False;True;True;1;3
16;1;1;0;4;12;True;False;True;False;False;False;False;False;True;False;False;True;True;1;3
15;2;1;0;5;11;True;True;True;False;False;False;False;False;False;True;False;True;False;1;3
